road_type,Kreis_Name,Str,TKZST,Anfang,Ende,FSOD,FStr,Laenge_km,Land,Zaehlart,Kreis,VonNK,NachNK,Station_km,Herkunft,Ziel,DTV_2010,DTV_2015,DTV_2019,DTV,DTVw,DTVu,DTVs,DTV_LV,DTV_SV,DTV_Bus,DTV_LoA,DTV_LZ,DTV_Ri1,DTV_Ri2,DTV_SV_Ri1,DTV_SV_Ri2,X_Koordinate,Y_Koordinate
Autobahn,Neumarkt i.d.OPf,A 3,66349002,AS Oberölsbach (91),AS Neumarkt i. d. OPf. (92a),FS,4,6.482,9,MZa,373,6634015,6634017,2.656,Nürnberg,Passau,38583,43329,46990,38559,39777,39883,32461,28432,10127,107,612,9408,18625,19934,5431,4696,676910.123,5469702.105
Autobahn,Neumarkt i.d.OPf,A 3,66349051,AS Neumarkt i. d. OPf. (92a),AS Neumarkt-Ost (92b),FS,4,9.157,9,DZ,373,6634017,6735022,0.699,Nürnberg,Passau,34740,38483,40693,35110,34980,39064,30083,25524,9586,76,811,8699,17954,17156,5034,4552,680109.714,5465487.516
Autobahn,Neumarkt i.d.OPf,A 3,67359001,AS Neumarkt-Ost (92b),AS Velburg (93),FS,4,7.43,9,MZa,373,6735022,6735010,1.652,Nürnberg,Passau,34740,41588,44586,34669,34601,38135,30097,25324,9345,83,598,8664,17553,17116,4802,4543,688602.927,5461735.163
Autobahn,Neumarkt i.d.OPf,A 3,68369001,AS Velburg (93),AS Parsberg (94),FS,4,10.534,9,MZa,373,6735010,6836001,3.898,Nürnberg,Passau,34180,41817,44736,35488,35811,38498,30183,26152,9336,74,601,8661,18014,17474,4792,4544,695209.027,5452793.968
Autobahn,Neumarkt i.d.OPf,A 3,68379069,AS Parsberg (94),AS Beratzhausen (95),FS,4,10.852,9,MZa,373,6836002,6837015,8.241,Nürnberg,Passau,36985,40991,43644,36774,35721,42793,32108,27309,9464,60,1002,8402,18136,18638,5022,4443,708057.601,5447727.655
Autobahn,Regensburg LK,A 3,68379070,AS Beratzhausen (95),AS Laaber (96),FS,4,6.372,9,MZa,375,6837015,6937001,1.363,Nürnberg,Passau,37644,41660,44438,36799,36742,41567,30385,26692,10107,38,1255,8814,19070,17729,5333,4774,710701.533,5441819.685
Autobahn,Regensburg LK,A 3,69379081,AS Laaber (96),AS Nittendorf (97),FS,4,8.83,9,DZ,375,6937001,6937014,4.08,Nürnberg,Passau,37329,41301,43922,39150,39648,43184,31813,29603,9547,80,938,8529,19898,19252,4999,4548,714788.67,5435403.565
Autobahn,Regensburg LK,A 3,69379001,AS Nittendorf (97),AS Sinzing (98),FS,4,7.569,9,MZa,375,6937014,7038001,2.418,Nürnberg,Passau,43746,47801,49085,42624,43127,47700,33824,32108,10516,34,1519,8963,20212,22412,5353,5163,717642.048,5433409.604
Autobahn,Regensburg LK,A 3,70389074,AS Sinzing (98),AK Regensburg (99),FS,4,2.759,9,DZ,375,7038001,7038002,1.495,Nürnberg,Passau,52128,57016,58186,51271,53233,55317,38789,41301,9970,132,1029,8809,25332,25938,5144,4826,721955.621,5431560.196
Autobahn,Regensburg Stadt,A 3,70389080,AK Regensburg (99),AS Regensburg-Universität (100a),FS,4,3.21,9,MZa,362,7038002,7038036,0.366,Nürnberg,Passau,68910,76595,84847,59401,61607,59870,51028,46444,12957,123,1459,11375,26566,32834,6887,6070,724846.126,5430983.217
Autobahn,Regensburg Stadt,A 3,70389081,AS Regensburg-Universität (100a),AS Regensburg-Burgweinting (100b),FS,4,2.261,9,MZa,362,7038036,7038005,1.237,Nürnberg,Passau,65319,72620,80716,61313,61544,69471,49192,48126,13187,53,1955,11179,29017,32297,6893,6294,728147.312,5431396.282
Autobahn,Regensburg Stadt,A 3,70389001,AS Regensburg-Burgweinting (100b),AS Regensburg-Ost (101),FS,4,1.242,9,KW,362,7038005,7038030,1.233,Nürnberg,Passau,,,,,,,,,,,,,,,,,730117.318,5431928.612
Autobahn,Regensburg Stadt,A 3,70399076,AS Regensburg-Ost (101),AS Neutraubling (102),FS,4,3.423,9,MZa,362,7038030,7039001,1.336,Nürnberg,Passau,60998,65293,72604,57308,56956,64905,48002,44949,12358,67,1749,10542,30510,26798,6855,5504,731963.452,5432364.228
Autobahn,Regensburg LK,A 3,70399077,AS Neutraubling (102),AS Rosenhof (103),FS,6,3.296,9,MZa,375,7039001,7039002,0.855,Nürnberg,Passau,51676,55836,62081,51657,51234,58859,43147,39520,12137,71,1866,10200,28337,23320,6642,5495,734034.957,5432078.044
Autobahn,Regensburg LK,A 3,70399087,AS Rosenhof (103),AS Wörth a.d.  Donau/Wiesent (104a),FS,6,9.042,9,MZa,375,7039002,6940022,5.878,Nürnberg,Passau,47633,51504,57150,48716,48811,56101,38138,36732,11984,76,1840,10068,26524,22191,6768,5216,737484.311,5431669.041
Autobahn,Regensburg LK,A 3,70409088,AS Wörth a.d.  Donau/Wiesent (104a),AS Wörth a.d.  Donau-Ost (104b),FS,4,3.46,9,MZa,375,6940022,7040017,0.719,Nürnberg,Passau,46513,50293,55781,46378,46106,52500,38837,34490,11888,96,1805,9987,25756,20622,6556,5332,746365.654,5432927.278
Autobahn,Straubing-Bogen,A 3,70409001,AS Wörth a.d.  Donau-Ost (104b),AS Kirchroth (105),FS,4,10.541,9,MZa,278,7040017,7041025,7.908,Nürnberg,Passau,40193,43097,47720,43801,43914,50001,34807,32108,11693,58,1710,9924,22933,20868,6530,5163,750311.855,5432270.54
Autobahn,Straubing-Bogen,A 3,70419089,AS Kirchroth (105),AS Straubing (106),FS,4,6.366,9,MZa,278,7041025,7041026,1.351,Nürnberg,Passau,38748,41548,45968,41443,40790,47545,35266,29750,11693,41,1733,9918,22443,19000,6426,5267,759644.752,5428811.494
Autobahn,Straubing-Bogen,A 3,70419090,AS Straubing (106),AS Bogen (107),FS,4,8.777,9,MZa,278,7041026,7042027,0.608,Nürnberg,Passau,34883,37404,41378,37898,37445,42631,32920,27000,10898,49,1506,9344,20515,17384,5921,4977,765647.823,5427191.734
Autobahn,Straubing-Bogen,A 3,70429091,AS Bogen (107),AS Schwarzach (108),FS,4,5.728,9,MZa,278,7042027,7042028,4.917,Nürnberg,Passau,34893,37414,41389,38882,38777,43811,32413,28093,10789,57,1496,9236,21058,17824,5938,4850,774124.054,5425111.748
Autobahn,Straubing-Bogen,A 3,70429092,AS Schwarzach (108),AS Metten (109),FS,4,9.16,9,MZa,278,7042028,7143022,1.884,Nürnberg,Passau,35816,38404,42493,39232,38951,44281,33215,28486,10747,53,1420,9274,20627,18606,5782,4965,779129.516,5423032.612
Autobahn,Neumarkt i.d.OPf,A 6,65349001,AS Altdorf/Leinburg (62),AS Alfeld (63),FS,4,15.58,9,MZa,373,6534012,6535014,13.248,Nürnberg,Waidhaus,25229,27072,30094,24296,25555,25803,17798,16580,7715,28,775,6913,12058,12238,3858,3857,673019.551,5474675.526
Autobahn,Schwandorf,A 6,65389236,AS Amberg-Ost (67),AS Schmidgaden (68),FS,4,7.056,9,DZ,376,6537036,6538024,2.836,Nürnberg,Waidhaus,13246,17586,20430,16206,17637,16284,11086,,,,,,8105,8101,,,717567.741,5478723.574
Autobahn,Schwandorf,A 6,65389237,AS Schmidgaden (68),AS Nabburg-West (69),FS,4,7.57,9,MZa,376,6538024,6538025,4.865,Nürnberg,Waidhaus,12992,16453,19866,15818,17232,15986,10636,9995,5823,20,509,5295,7981,7837,2914,2909,725815.871,5482144.727
Autobahn,Schwandorf,A 6,65389238,AS Nabburg-West (69),AK Oberpfälzer Wald (A 93),FS,4,6.216,9,DZ,376,6538025,6438033,2.764,Nürnberg,Waidhaus,13511,17120,20433,16039,17420,16151,11051,9304,6735,43,1134,5558,7977,8062,3356,3379,727959.107,5487489.701
Autobahn,Schwandorf,A 6,64399088,AK Oberpfälzer Wald (A 93),AS Wernberg-Ost (71),FS,4,3.301,9,DZ,376,6438033,6439028,1.522,Nürnberg,Waidhaus,14862,18346,21328,16020,17194,16184,11681,9141,6879,41,985,5853,8052,7968,3417,3462,730194.324,5490803.245
Autobahn,Schwandorf,A 6,64399089,AS Wernberg-Ost (71),AS Leuchtenberg (72),FS,4,8.401,9,MZa,376,6439028,6439029,2.685,Nürnberg,Waidhaus,15222,18779,22190,15468,16465,16036,11192,9430,6039,32,454,5553,8006,7463,3115,2923,731751.577,5494858.91
Autobahn,Neumarkt i.d.OPf,A 9,66339002,AD Nürnberg/Feucht (A 73),AS Allersberg (55),FS,6,11.279,9,DZ,373,6633020,6733011,7.801,Hof,München,76489,83066,80742,62536,60953,69988,57742,50582,11954,149,1996,9809,31402,31134,6064,5890,660437.143,5464554.212
Autobahn,Eichstaett,A 9,70349001,AS Altmühltal (58),AS Denkendorf (59),FS,6,15.921,9,MZa,176,7034026,7034009,3.109,Nürnberg,München,65960,73176,73173,57385,55122,62394,58361,47069,10317,108,652,9557,28814,28571,5406,4911,677523.499,5425662.721
Autobahn,Eichstaett,A 9,71349051,AS Denkendorf (59),AS Lenting (60),FS,6,13.111,9,MZa,176,7034009,7134023,1.568,Nürnberg,München,73991,81463,81448,63268,60779,70873,61429,52707,10561,111,747,9703,31604,31664,5285,5276,681232.191,5410261.1
Autobahn,Eichstaett,A 9,72349090,AS Lenting (60),AS Ingolstadt-Nord (61),FS,6,4.878,9,DZ,176,7134029,7234024,1.676,Nürnberg,München,78680,86585,86192,70451,69531,77105,64439,59411,11040,129,1327,9584,35455,34996,5578,5462,680684.326,5406322.61
Autobahn,Pfaffenhofen a.d.Ilm,A 9,73359055,AS Manching (63),AS Langenbruck (64),FS,6,7.596,9,MZa,186,7234053,7335010,3.141,Nürnberg,München,85428,95238,96212,70586,70129,74346,66968,58695,11891,75,1922,9895,36687,33899,6171,5721,685174.762,5391583.811
Autobahn,Pfaffenhofen a.d.Ilm,A 9,73359056,AS Langenbruck (64),AD Holledau (65),FS,6,9.474,9,MZa,186,7335010,7435003,2.667,Nürnberg,München,75274,83954,88111,57768,55900,59963,61259,48808,8960,50,951,7958,31374,26394,5983,2977,687789.569,5386817.007
Autobahn,Pfaffenhofen a.d.Ilm,A 9,74359110,TRM In der Holledau,AS Pfaffenhofen (66),FS,8,5.651,9,MZa,186,7435003,7435026,4.872,Nürnberg,München,97386,101707,,81934,80639,88512,77344,68417,13518,116,2040,11362,42788,39146,6781,6737,691300.266,5378493.681
Autobahn,Pfaffenhofen a.d.Ilm,A 9,74359001,AD Holledau (65),TRM In der Holledau,FS,8,3.189,9,MZa,186,7435003,7435026,1.74,Nürnberg,München,94041,98214,,80993,79333,86264,79489,67307,13686,93,2141,11451,43334,37659,6850,6835,691116.4,5382218.245
Autobahn,Landshut LK,A 92,74389013,AS Landshut-West (12),AS Altdorf (13),FS,4,4.528,9,MZa,274,7438028,7438029,3.59,München,Deggendorf,36406,39178,42069,36589,38924,37646,26949,31366,5223,41,1238,3944,18398,18191,2644,2579,726733.651,5380788.857
Autobahn,Landshut LK,A 92,74389014,AS Altdorf (13),AS Landshut-Nord (14),FS,4,3.12,9,DZ,274,7438029,7438030,1.277,München,Deggendorf,38541,41496,44610,36860,39112,38281,27009,31570,5290,52,1070,4168,18366,18495,2619,2671,730856.614,5384652.022
Autobahn,Landshut LK,A 92,74399015,AS Landshut-Nord (14),AS Landshut/Essenbach (15),FS,4,4.127,9,MZa,274,7438030,7439026,1.314,München,Deggendorf,34021,36611,39591,33684,35765,34524,25234,27967,5717,25,1235,4457,16698,16986,3017,2700,734535.199,5386174.824
Autobahn,Landshut LK,A 92,74399001,AS Landshut/Essenbach (15),AK Landshut (16),FS,4,3.653,9,MZa,274,7439026,7339029,1.76,München,Deggendorf,,,,41115,43651,42407,30450,35090,6025,65,1206,4755,20468,20647,3119,2907,,
Autobahn,Landshut LK,A 92,73399016,AK Landshut (16),AS Wörth a.d.  Isar (17),FS,4,7.345,9,MZa,274,7339029,7339021,5.9,München,Deggendorf,32733,35225,38070,36150,38628,37272,25920,30171,5979,44,1145,4789,17546,18604,2980,2999,744232.788,5391140.616
Autobahn,Schwandorf,A 93,64389002,AS Luhe-Wildenau (26),AS Wernberg-Köblitz (27),FS,4,7.26,9,MZa,376,6438028,6438029,6.11,Weiden,Regensburg,29623,31356,35231,28969,28750,31875,25705,23916,5053,96,520,4437,15007,13962,2602,2451,726500.34,5492468.435
Autobahn,Schwandorf,A 93,64389001,AS Wernberg-Köblitz (27),AK Oberpfälzer Wald (A 6),FS,4,2.446,9,DZ,376,6438029,6438033,1.477,Weiden,Regensburg,32352,34375,37871,31924,32563,34409,26240,26057,5867,38,857,4972,15892,16032,2927,2940,727767.301,5490932.161
Autobahn,Schwandorf,A 93,64399087,AK Oberpfälzer Wald (A 6),AS Pfreimd (29),FS,4,3.695,9,DZ,376,6438033,6539004,1.4,Weiden,Regensburg,32227,34401,37385,30877,31251,33202,26343,25161,5716,53,712,4951,15265,15612,2830,2886,730200.993,5488562.031
Autobahn,Schwandorf,A 93,65399002,AS Pfreimd (29),AS Nabburg (30),FS,4,3.969,9,MZa,376,6539004,6539009,2.852,Weiden,Regensburg,32675,33545,36896,31694,32248,33732,26928,26097,5597,59,517,5021,15307,16387,2678,2919,731452.495,5484161.134
Autobahn,Schwandorf,A 93,65399001,AS Nabburg (30),AS Schwarzenfeld (31),FS,4,8.339,9,MZa,376,6539009,6638006,2.115,Weiden,Regensburg,34846,36405,40065,33289,34312,34610,27879,27530,5759,64,620,5076,15912,17377,2750,3009,731364.886,5482468.014
Autobahn,Schwandorf,A 93,66389001,AS Schwarzenfeld (31),AS Schwandorf-Nord (32),FS,4,5.034,9,MZa,376,6638006,6638018,3.322,Weiden,Regensburg,34795,38172,41924,34141,35187,35570,28499,28393,5748,59,600,5088,16493,17648,2745,3003,728830.808,5472318.224
Autobahn,Schwandorf,A 93,66389002,AS Schwandorf-Nord (32),AS Schwandorf-Mitte (33),FS,4,3.32,9,DZ,376,6638018,6638025,0.726,Weiden,Regensburg,40113,43765,48192,40246,40905,43614,33269,33252,6994,68,1002,5924,20233,20014,3496,3498,729234.15,5467769.376
Autobahn,Schwandorf,A 93,67389001,AS Schwandorf-Mitte (33),AS Schwandorf-Süd (34),FS,4,5.032,9,MZa,376,6638025,6738005,4.297,Weiden,Regensburg,36343,38861,43483,34059,35128,35105,28868,28351,5709,55,532,5122,16867,17192,2807,2902,729137.916,5466572.31
Autobahn,Schwandorf,A 93,67389002,AS Schwandorf-Süd (34),AS Teublitz (35),FS,4,6.278,9,MZa,376,6738005,6738018,3.348,Weiden,Regensburg,38148,40336,45101,36203,37540,37281,30029,30340,5863,56,620,5186,18146,18057,2888,2974,727898.452,5459335.318
Autobahn,Schwandorf,A 93,67389003,AS Teublitz (35),AS Ponholz (36),FS,4,7.403,9,MZa,376,6738018,6838027,1.146,Weiden,Regensburg,37804,42297,47235,36659,37862,38155,30372,30778,5881,53,602,5226,17658,19001,2917,2964,727176.85,5455407.32
Autobahn,Regensburg LK,A 93,68389049,AS Ponholz (36),AS Regenstauf (37),FS,4,4.314,9,MZa,375,6838017,6838022,1.113,Weiden,Regensburg,44745,48831,54404,44408,46649,45773,34671,37275,7133,54,1237,5842,21547,22861,3438,3695,726686.164,5445602.192
Autobahn,Regensburg LK,A 93,68389048,AS Regenstauf (37),AS Regensburg-Nord (38),FS,4,8.815,9,MZa,375,6838022,6938036,5.12,Weiden,Regensburg,50831,53491,59585,44876,46361,47463,36090,38774,6102,86,728,5288,21498,23378,2554,3548,726530.318,5445022.138
Autobahn,Regensburg LK,A 93,69389047,AS Regensburg-Nord (38),AS Regensburg-Pfaffenstein (39),FS,4,2.146,9,DZ,375,6938036,6938014,1.106,Weiden,Dreieck Holledau (A 9),64946,68298,71111,61377,64940,63027,46617,53776,7601,105,1616,5880,30900,30476,3798,3803,725174.566,5435403.053
Autobahn,Regensburg Stadt,A 93,69389046,AS Regensburg-Pfaffenstein (39),AS Regensburg-West (40),FS,6,1.011,9,MZa,362,6938014,6938019,0.538,Weiden,Dreieck Holledau (A 9),82805,87138,90733,74690,78027,78734,57405,67595,7095,80,1056,5960,39065,35626,4000,3096,724414.15,5434802.061
Autobahn,Regensburg Stadt,A 93,69389045,AS Regensburg-West (40),AS Regensburg-Prüfening (41),FS,6,0.985,9,MZa,362,6938019,6938020,0.5,Weiden,Dreieck Holledau (A 9),70310,76935,80109,64074,66814,65699,52227,56864,7210,125,1152,5934,33929,30145,3437,3773,724172.141,5433852.053
Autobahn,Regensburg Stadt,A 93,69389043,AS Regensburg-Prüfening (41),AS Regensburg-Königswiesen (42),FS,6,0.671,9,MZa,362,6938020,6938023,0.657,Weiden,Dreieck Holledau (A 9),73927,80893,84231,64402,67227,65736,52660,57092,7309,57,1286,5966,34117,30285,3533,3776,723861.004,5433227.597
Autobahn,Regensburg Stadt,A 93,69389044,AS Regensburg-Königswiesen (42),AS Regensburg-Kumpfmühl (43),FS,6,1.041,9,MZa,362,6938023,6938030,0.636,Weiden,Dreieck Holledau (A 9),59830,65433,66730,64350,67084,65687,52929,57497,6853,97,955,5801,34386,29964,2951,3902,723963.931,5432250.045
Autobahn,Regensburg Stadt,A 93,70389042,AS Regensburg-Kumpfmühl (43),AK Regensburg (44),FS,6,0.853,9,MZa,362,6938030,7038002,0.392,Weiden,Dreieck Holledau (A 9),64773,70230,71926,63270,63631,69469,53407,56907,6363,94,987,5282,33881,29389,3219,3144,724055.218,5431760.203
Autobahn,Regensburg LK,A 93,70389041,AK Regensburg (44),AS Regensburg-Süd (45),FS,5,1.914,9,MZa,375,7038002,7038008,0.669,Weiden,Dreieck Holledau (A 9),52112,56518,61776,55922,56598,61171,46275,48240,7682,45,1334,6303,31340,24583,3836,3846,723952.007,5430275.876
Autobahn,Regensburg LK,A 93,70389040,AS Regensburg-Süd (45),TR Pentling (FR Regensburg),FS,4,3.116,9,MZa,375,7038008,7038035,1.324,Regensburg,Dreieck Holledau (A 9),40049,43435,47423,43456,44114,45882,37790,37271,6185,26,1040,5119,23589,19867,3408,2777,724288.354,5429327.899
Autobahn,Regensburg LK,A 93,70389043,TR Pentling (FR Regensburg),AS Bad Abbach (46),FS,4,2.761,9,MZa,375,7038035,7038029,1.505,Regensburg,Dreieck Holledau (A 9),39491,42830,46765,42472,42237,47271,36637,38620,3851,91,619,3142,22861,19611,2141,1710,726372.265,5426034.077
