ags;name;2015;2016;2017;2018;2019;2020;2021;2022;2023
09161;Ingolstadt, Kreisfreie Stadt;23886;24253;24299;25246;25462;25287;25454;26813;28643
09162;München, Landeshauptstadt, Kreisfreie Stadt;28313;32095;31280;32893;34549;33068;33150;35505;38189
09163;Rosenheim, Kreisfreie Stadt;22975;23292;23254;24015;24304;24171;24813;26501;28219
09171;Altötting, Landkreis;22696;23172;23705;24547;25181;24923;25723;27630;29269
09172;Berchtesgadener Land, Landkreis;21768;22258;23545;24269;25068;24662;25478;27813;29240
09173;Bad Tölz-Wolfratshausen, Landkreis;25981;26439;26831;28202;28206;27824;28668;31162;33076
09174;Dachau, Landkreis;24905;25547;26114;27143;27637;27458;27893;30039;32221
09175;Ebersberg, Landkreis;27132;27396;28353;29037;29835;29383;30462;32762;35045
09176;Eichstätt, Landkreis;24253;24448;24566;25816;26160;25869;26142;28022;29918
09177;Erding, Landkreis;24308;24928;25779;26656;27378;26865;27593;29953;31799
09178;Freising, Landkreis;23716;24291;24773;25991;26440;26034;26607;28493;30400
09179;Fürstenfeldbruck, Landkreis;25932;26018;26482;27359;28284;28156;28685;30711;32879
09180;Garmisch-Partenkirchen, Landkreis;24881;24486;25581;26347;26954;26672;27964;30703;32412
09181;Landsberg am Lech, Landkreis;25085;25560;26532;27543;28362;27516;28469;30806;32759
09182;Miesbach, Landkreis;28500;28875;34464;32549;32778;34698;34944;38560;40748
09183;Mühldorf a.Inn, Landkreis;23137;23714;24137;25080;25613;25443;26498;28740;30128
09184;München, Landkreis;30664;31038;31612;32859;34247;33305;33927;36572;39089
09185;Neuburg-Schrobenhausen, Landkreis;23030;23854;24290;25282;25459;25246;25635;27620;29184
09186;Pfaffenhofen a.d.Ilm, Landkreis;25584;25723;26400;28799;27393;26998;27251;29331;31150
09187;Rosenheim, Landkreis;24900;25462;25833;26820;27368;27366;28823;31318;33085
09188;Starnberg, Landkreis;37440;35320;37532;38659;38181;37033;38417;41757;44519
09189;Traunstein, Landkreis;23816;24176;25161;26145;26532;26219;27313;29783;31370
09190;Weilheim-Schongau, Landkreis;24311;25015;25846;27740;27376;26928;27821;30149;31902
09261;Landshut, Kreisfreie Stadt;24650;24699;25624;27412;26984;26597;27759;29768;31416
09262;Passau, Kreisfreie Stadt;21124;21196;21831;22515;22550;22545;23512;24923;26409
09263;Straubing, Kreisfreie Stadt;21764;22046;24411;23862;24701;23590;24502;26246;27470
09271;Deggendorf, Landkreis;21781;22720;24007;25247;25521;25247;27617;30104;31521
09272;Freyung-Grafenau, Landkreis;20130;21460;21693;22850;23877;23151;23923;25972;27573
09273;Kelheim, Landkreis;22900;23211;23915;24965;25576;25306;25640;27865;29416
09274;Landshut, Landkreis;23283;24784;24739;25687;26202;25803;26630;28912;30638
09275;Passau, Landkreis;21236;21710;22566;23712;24291;23618;24408;26536;27886
09276;Regen, Landkreis;20477;21122;21698;22870;23898;23526;24086;26220;27771
09277;Rottal-Inn, Landkreis;22166;23403;23664;24653;25506;25030;25710;28063;29378
09278;Straubing-Bogen, Landkreis;22448;23063;24001;25353;25456;24875;25601;27927;29360
09279;Dingolfing-Landau, Landkreis;23469;24234;24724;25859;26395;25690;26135;28114;29578
09361;Amberg, Kreisfreie Stadt;22275;21428;22463;23253;23984;23272;23938;25346;27128
09362;Regensburg, Kreisfreie Stadt;22938;23302;23188;24331;24713;25086;26366;27746;29369
09363;Weiden i.d.OPf., Kreisfreie Stadt;21141;21989;21984;22914;23263;23643;23882;25424;27127
09371;Amberg-Sulzbach, Landkreis;21580;21978;23068;24057;24883;24597;25038;27012;28715
09372;Cham, Landkreis;21202;22591;22673;23659;24356;24527;25216;27554;28873
09373;Neumarkt i.d.OPf., Landkreis;23232;24392;24695;25709;25807;25786;26855;29124;30658
09374;Neustadt a.d.Waldnaab, Landkreis;21409;21580;22188;23114;23835;23683;24455;26424;28016
09375;Regensburg, Landkreis;23106;23779;24619;25441;25856;25810;26402;28377;30109
09376;Schwandorf, Landkreis;21323;21678;22420;23439;24261;24019;24729;26573;28159
09377;Tirschenreuth, Landkreis;21009;21393;22601;23129;24336;24161;26842;29596;31129
09461;Bamberg, Kreisfreie Stadt;22017;22432;22466;23492;24183;23730;24834;26232;27752
09462;Bayreuth, Kreisfreie Stadt;20897;21063;21310;21927;22555;22535;23925;25567;27251
09463;Coburg, Kreisfreie Stadt;24356;24377;25065;26240;26095;26482;27274;29107;30694
09464;Hof, Kreisfreie Stadt;20204;20449;20527;21182;21474;21873;23028;24277;25503
09471;Bamberg, Landkreis;21789;22589;23100;24259;24625;24628;25117;27155;29038
09472;Bayreuth, Landkreis;21366;21941;22697;23598;24222;24381;25028;26994;28814
09473;Coburg, Landkreis;25439;25946;25718;23976;24743;25828;25577;27514;29395
09474;Forchheim, Landkreis;23421;24105;24632;25670;26064;26207;26755;28806;30790
09475;Hof, Landkreis;21128;21559;22246;22948;23402;23523;24140;25967;27669
09476;Kronach, Landkreis;22105;22335;22998;23980;24256;24346;25929;28191;29971
09477;Kulmbach, Landkreis;22459;22966;23622;24826;25409;24915;25719;27800;29647
09478;Lichtenfels, Landkreis;21249;21709;23241;23773;24133;23804;24496;26432;27980
09479;Wunsiedel i.Fichtelgebirge, Landkreis;21581;22106;22897;24335;25563;25646;28586;31581;33183
09561;Ansbach, Kreisfreie Stadt;21304;22294;21921;22333;23054;22954;23724;25110;27012
09562;Erlangen, Kreisfreie Stadt;24787;24690;25414;26063;26427;26264;26883;28182;30114
09563;Fürth, Kreisfreie Stadt;23902;23713;24297;24971;24817;24320;28665;30510;32437
09564;Nürnberg, Kreisfreie Stadt;22189;22609;22887;23574;23733;23507;24148;25602;27201
09565;Schwabach, Kreisfreie Stadt;25426;25709;26396;27848;28406;27427;27996;30397;32497
09571;Ansbach, Landkreis;22431;23092;24166;24668;25372;25202;25948;28283;29837
09572;Erlangen-Höchstadt, Landkreis;25413;25784;26497;29038;29453;28778;32068;34913;37135
09573;Fürth, Landkreis;25108;25009;25943;27036;27382;27185;28111;30293;32493
09574;Nürnberger Land, Landkreis;24976;25401;26030;26985;27612;26947;28093;30335;32413
09575;Neustadt a.d.Aisch-Bad Windsheim, Landkreis;22369;22824;23512;24383;24960;24570;25387;27581;29081
09576;Roth, Landkreis;23663;24166;25063;25893;26385;26422;27396;29728;31571
09577;Weißenburg-Gunzenhausen, Landkreis;22074;22430;23145;23812;24349;24034;24713;26643;28147
09661;Aschaffenburg, Kreisfreie Stadt;24012;24025;25432;25451;25883;25118;26228;28051;29839
09662;Schweinfurt, Kreisfreie Stadt;20579;21174;21439;22351;22916;22966;23347;24702;26073
09663;Würzburg, Kreisfreie Stadt;23732;24273;25621;24985;24959;24363;25513;27280;29290
09671;Aschaffenburg, Landkreis;23604;24104;24688;25673;26200;25874;26646;28583;30679
09672;Bad Kissingen, Landkreis;21874;22191;23062;24214;25007;24832;25518;27596;29222
09673;Rhön-Grabfeld, Landkreis;21810;22370;23007;23711;24532;24332;30563;34159;35747
09674;Haßberge, Landkreis;21034;21649;22369;23339;23938;23915;25135;27225;28982
09675;Kitzingen, Landkreis;22577;23269;23977;24698;25256;25185;25861;28147;29690
09676;Miltenberg, Landkreis;22279;22687;23563;24652;24638;24676;25532;27650;29459
09677;Main-Spessart, Landkreis;22488;22827;23775;24505;25048;24950;25701;27625;29507
09678;Schweinfurt, Landkreis;21969;22388;23250;24265;24373;24331;24983;26822;28834
09679;Würzburg, Landkreis;23446;23164;24054;24767;25475;25323;26467;28515;30400
09761;Augsburg, Kreisfreie Stadt;19795;19907;20614;21199;21822;21881;22535;23888;25528
09762;Kaufbeuren, Kreisfreie Stadt;22125;22469;23604;25694;25082;24152;24816;26439;28048
09763;Kempten (Allgäu), Kreisfreie Stadt;21701;22016;22707;23235;23991;23880;24753;26462;28190
09764;Memmingen, Kreisfreie Stadt;27606;27380;28075;29516;27906;26147;26946;29097;30544
09771;Aichach-Friedberg, Landkreis;24477;25385;26675;26944;27464;28088;27899;30298;32040
09772;Augsburg, Landkreis;24387;24779;25874;26359;26657;26603;27225;29348;31155
09773;Dillingen a.d.Donau, Landkreis;23517;24001;24882;26100;26602;25921;26625;29043;30577
09774;Günzburg, Landkreis;23099;24114;24763;25646;26308;26512;26790;29249;30742
09775;Neu-Ulm, Landkreis;23584;24115;24819;25886;26004;25770;26715;28592;30241
09776;Lindau (Bodensee), Landkreis;25421;26359;26567;26961;27204;26483;27344;29571;31304
09777;Ostallgäu, Landkreis;23304;23299;24558;25605;25936;25729;26640;29035;30505
09778;Unterallgäu, Landkreis;25411;25058;25470;26745;26899;26600;27774;30336;31720
09779;Donau-Ries, Landkreis;24194;24676;25017;26347;26940;27652;28331;31050;32580
09780;Oberallgäu, Landkreis;23512;24230;25189;26282;26873;26379;27123;29579;31225
